Node 1,Node 2,Placebo Edge,Sertraline Edge
IMP,APP,0.0294494229852447,0.0179824785574225
TIR,APP,0.0247379634119206,0.0134648118796516
WOR,APP,0.0106443717366742,0.00730678517077588
ANH,APP,0,0.0764484486485331
DIS,APP,0.0629268941041474,0
RES,APP,0.0768730186978737,0.0783159498538545
SUI,APP,0,0
SAD,APP,0,0
BAD,CON,0,0
ANX,CON,0,0.0793524354060716
AFR,CON,0.0429009027427687,0.00278174985699118
FAI,CON,0.0319124965097854,0
GUI,CON,0,0.00178447852694155
PUN,CON,0,0
CRY,CON,0,0.0740795946668739
IND,CON,0.124690128516024,0.0861464334508539
LIB,CON,0.0809965748885368,0.164478362190587
PHY,CON,0,-0.0431311027463305
IMP,CON,0.0478559133673311,0.0412351557197546
TIR,CON,0.135318082718117,0.0768534973176566
WOR,CON,0.0124441101795945,0.0643362973789783
ANH,CON,0.0736637464053442,0.0308650957633613
DIS,CON,0,0
RES,CON,0.192777291801959,0.206806745010311
SUI,CON,0,0
SAD,CON,0.0717006442659108,0.00633576227419899
APP,CON,0,0.0911843870634517
BAD,SLE,0,0
ANX,SLE,0,0
AFR,SLE,0,0
FAI,SLE,0,0.129285862103063
GUI,SLE,0,0.0925611925325958
PUN,SLE,0.0676592394604539,0
CRY,SLE,0,0
IND,SLE,0.00462591548354053,0.0814333897063807
LIB,SLE,0.162602717592847,0
PHY,SLE,0,0
IMP,SLE,0,0.0239571219195095
TIR,SLE,0.156070967159239,0.200362736434833
WOR,SLE,0,0
ANH,SLE,0.111151310782566,0.0690745656346728
DIS,SLE,0.0304387060936067,0.0684245934924336
RES,SLE,0.112792041884362,0.00866532335179185
SUI,SLE,0,0
SAD,SLE,0,0
APP,SLE,0.125699122415584,0.072947347972678
CON,SLE,0,0.115364812377116
