node1,node2,sample,CIlower,CIupper
AFR,APP,0.0391374737080536,-0.0426642131555046,0.120939160571612
AFR,CON,0.0254791706204939,-0.047923669209089,0.0988820104500768
AFR,GUI,0.0730275992388234,-0.0166696656748542,0.162724864152501
AFR,RES,0.0671098609491375,-0.0250861976907805,0.159305919589056
AFR,WOR,0.197865529673178,0.110106048871255,0.285625010475101
ANH,CON,0.0494580128535013,-0.0334524361336877,0.13236846184069
ANH,DIS,0.0535753840368037,-0.0318801895125868,0.139030957586194
ANH,SAD,0.204160227011215,0.122991965225146,0.285328488797284
ANH,SLE,0.111025437937985,0.0235094857064915,0.198541390169479
ANH,SUI,0.0310355095577256,-0.0402124435210438,0.102283462636495
ANX,AFR,0.0654913060442538,-0.0325596250609143,0.163542237149422
ANX,ANH,-0.0639359613376131,-0.162964859646558,0.0350929369713313
ANX,APP,-0.0959379476618756,-0.197972381028138,0.00609648570438678
ANX,CON,0.0508684058747501,-0.041091223706776,0.142828035456276
ANX,PUN,0.0746640165446792,-0.0227178749095565,0.172045907998915
ANX,RES,0.152347886046808,0.0660873538191265,0.238608418274489
ANX,SAD,0.0919006770280777,-0.00364916513284651,0.187450519189002
ANX,WOR,0.374454442745993,0.29349901343306,0.455409872058926
APP,SLE,0.128216833475254,0.0375210482506652,0.218912618699842
BAD,AFR,0.127961059628346,0.0340595147802588,0.221862604476434
BAD,ANH,0.0474119001511582,-0.0325426165992447,0.127366416901561
BAD,DIS,0.137667598050209,0.044705971898264,0.230629224202153
BAD,FAI,0.122586227554427,0.0398972276425162,0.205275227466339
BAD,IMP,0.109065175918131,0.026457291664418,0.191673060171845
BAD,PUN,0.0968375038475586,-0.00103460351577908,0.194709611210896
BAD,SAD,0.138320512764962,0.0492361470907365,0.227404878439188
BAD,SUI,0.082192720349939,-0.00855124774799089,0.172936688447869
BAD,TIR,0.0280720977205476,-0.0537766097205574,0.109920805161653
BAD,WOR,0.0648749120715332,-0.0305176953227338,0.1602675194658
CON,SLE,0.0388861240420246,-0.0426324320822676,0.120404680166317
CRY,ANH,0.0637674551295956,-0.0226016301637906,0.150136540422982
CRY,APP,-0.0891450103034687,-0.186905929086268,0.00861590847933064
CRY,CON,0.0455548848003859,-0.0366613347890812,0.127771104389853
CRY,DIS,0.103972257425208,0.0122080076620252,0.195736507188391
CRY,IND,0.0901141939763122,-0.011590788470947,0.191819176423571
CRY,LIB,0.0814459672757869,-0.0096812517628022,0.172573186314376
CRY,SUI,0.0306251549366672,-0.0500146451289965,0.111264955002331
CRY,TIR,0.0604861888489173,-0.0298105175763289,0.150782895274164
DIS,APP,0.0547706232641917,-0.0328105337854412,0.142351780313825
DIS,SAD,0.0709907623093412,-0.0151155968580043,0.157097121476687
DIS,SLE,0.0544623224365514,-0.0286588517285253,0.137583496601628
DIS,SUI,0.0645412051556579,-0.0282554014087332,0.157337811720049
FAI,APP,-0.0568205555949526,-0.145329442010899,0.0316883308209937
FAI,DIS,0.125744993614424,0.0423554930340697,0.209134494194779
FAI,GUI,0.151167849320017,0.0651930061736221,0.237142692466413
FAI,IND,0.0298904376509786,-0.0458299220813134,0.105610797383271
FAI,PUN,0.0939975753634491,-0.00323579585476987,0.191230946581668
FAI,SLE,0.061485072939359,-0.0290138204726609,0.151983966351379
FAI,SUI,0.0714420013477137,-0.0123353330250319,0.155219335720459
FAI,TIR,0.0946650834718464,0.00811232821009322,0.1812178387336
GUI,CRY,0.026872835807697,-0.0419087914587349,0.0956544630741289
GUI,DIS,0.0493873523855081,-0.0363241815460709,0.135098886317087
GUI,IMP,0.0261303451975453,-0.0368612664802497,0.0891219568753404
GUI,PUN,0.104703493570645,0.0117094213207591,0.197697565820532
GUI,SAD,0.0455127105566943,-0.0312429887667329,0.122268409880122
GUI,SLE,0.0627553106447513,-0.0233130499791217,0.148823671268624
GUI,SUI,0.147097946026171,0.055153755215877,0.239042136836466
IMP,ANH,0.125127788513112,0.0419763912414577,0.208279185784765
IMP,APP,0.0639377135354602,-0.0277069907605274,0.155582417831448
IMP,CON,0.0555764842003756,-0.0238132028019983,0.13496617120275
IMP,DIS,0.0426319132293926,-0.0353465475601836,0.120610374018969
IMP,SAD,0.130532842775027,0.0433613041043271,0.217704381445727
IMP,SUI,0.0504405248230955,-0.0285058042268607,0.129386853873052
IMP,TIR,0.0435142223776847,-0.0402715708366335,0.127300015592003
IMP,WOR,0.0622503933769745,-0.026822696811603,0.151323483565552
IND,ANH,0.0973796306971227,0.00854980709467221,0.186209454299573
IND,APP,0.13804438973959,0.0512536478198185,0.224835131659362
IND,CON,0.105170410658494,0.00906758049025941,0.201273240826729
IND,DIS,0.0375287515522353,-0.0442732450677508,0.119330748172221
IND,IMP,-0.038436342173408,-0.122975553924635,0.0461028695778186
IND,LIB,0.0541387803004033,-0.0287929476256584,0.137070508226465
IND,RES,0.0611879925836783,-0.026429176577267,0.148805161744624
IND,SAD,0.0799105798892039,-0.0111131032699479,0.170934263048356
IND,SLE,0.0462022145299474,-0.0378124475465301,0.130216876606425
IND,TIR,0.0570546106525111,-0.027544112416247,0.141653333721269
LIB,ANH,0.0863745248205647,-0.00447848433607197,0.177227533977201
LIB,APP,0.0604777052275793,-0.027931392076451,0.14888680253161
LIB,CON,0.132607836857848,0.0460765446913487,0.219139129024346
LIB,IMP,0.0314439431933387,-0.0521328060644069,0.115020692451084
LIB,PHY,-0.123640287531074,-0.216810518166195,-0.0304700568959531
LIB,SLE,0.0433312107658129,-0.0455978131898806,0.132260234721506
