,Df,AIC,BIC,Chisq,Chisq diff,RMSEA,Df diff,Pr(>Chisq)
freegroups_freetime,1302,53120.4829109554,63257.4107013442,5494.21465636671,NA,NA,NA,NA
equalgroups_freetime,2184,52342.5612490083,58678.1411180013,6480.29299441968,986.078338052962,0.0207147423000843,882,0.00814147895791737
