node1,node2,sample,CIlower,CIupper
AFR,ANH,0.030883318868008,-0.0455376368286159,0.107304274564632
AFR,FAI,0.0296281246664113,-0.0546345786368837,0.113890827969706
AFR,PUN,0.0583737985228128,-0.0323655241313763,0.149113121177002
AFR,RES,0.0960665724532723,0.0055513281015226,0.186581816805022
AFR,SUI,0.030371350019024,-0.050699975443938,0.111442675481986
AFR,WOR,0.152390372824734,0.0530328328544381,0.251747912795029
ANH,CON,0.148375074877647,0.0632691002936241,0.233481049461669
ANH,DIS,0.118048787857625,0.0308937627427957,0.205203812972453
ANH,SAD,0.11248754180771,0.0174762767248554,0.207498806890565
ANX,AFR,0.200937823923111,0.102016258618012,0.29985938922821
ANX,RES,0.0777618498860309,-0.0163655759191906,0.171889275691252
ANX,SAD,0.113990697705115,0.0119325550562895,0.216048840353941
ANX,WOR,0.367623309246421,0.27722942119349,0.458017197299353
APP,CON,0.0447545819823376,-0.0456030411094907,0.135112205074166
APP,SLE,0.196384548797144,0.109311385116695,0.283457712477593
BAD,ANH,0.0799268164371142,-0.0129266548199769,0.172780287694205
BAD,DIS,0.149914912058016,0.0636485998874279,0.236181224228603
BAD,FAI,0.0834438271214477,-0.0184539131200323,0.185341567362928
BAD,GUI,0.173870061468666,0.0772950094851153,0.270445113452216
BAD,IMP,0.0431142624140291,-0.0398842284177701,0.126112753245828
BAD,PUN,0.123565932566078,0.0266588279498334,0.220473037182323
BAD,SAD,0.194880057631658,0.0996693791240828,0.290090736139233
BAD,WOR,0.173259144662016,0.0928088075508358,0.253709481773197
CON,SLE,0.0769397483766971,-0.0125785673381072,0.166458064091501
CRY,APP,0.070919493925417,-0.0220460299361069,0.163885017786941
CRY,DIS,0.0513693735374756,-0.0336648212717746,0.136403568346726
CRY,IMP,0.0423564256025046,-0.0382174117182994,0.122930262923309
CRY,LIB,0.0342174775774819,-0.0447049594219299,0.113139914576894
CRY,SAD,0.0807651862108235,-0.0246180721405653,0.186148444562212
DIS,SAD,0.0936165680540061,0.00181861510366273,0.18541452100435
DIS,SUI,0.0705892313840454,-0.0216057997717071,0.162784262539798
FAI,DIS,0.209293328295919,0.124058756785955,0.294527899805883
FAI,GUI,0.0609762265905128,-0.0308330834299844,0.15278553661101
FAI,LIB,-0.0504988964509466,-0.154461790535515,0.0534639976336216
FAI,PUN,0.134864998521521,0.0464441051668871,0.223285891876155
FAI,SAD,0.0320350021805295,-0.0492332002288612,0.11330320458992
FAI,SLE,0.0923842531071027,-0.00191491877832553,0.186683424992531
GUI,DIS,0.128360933099103,0.0319440237668192,0.224777842431386
GUI,IND,0.0842992104192931,-0.00849660481906454,0.177095025657651
GUI,PUN,0.111770839357329,0.0140865755927537,0.209455103121904
GUI,SAD,0.0481100398184192,-0.0333649251998983,0.129585004836737
GUI,SUI,0.0379474102034978,-0.0402626629500444,0.11615748335704
IMP,ANH,0.11792651812661,0.0278025444084187,0.208050491844802
IMP,CON,0.0790664583828669,-0.0106333442735805,0.168766261039314
IMP,DIS,0.0586683766854662,-0.0266070055811347,0.143943758952067
IMP,RES,0.0616679987509202,-0.0232614844145894,0.14659748191643
IMP,SAD,0.164168242312368,0.0772756181365318,0.251060866488205
IMP,SUI,0.138946019046248,0.0415911036593477,0.236300934433147
IMP,WOR,0.0529559981847498,-0.0402382574929465,0.146150253862446
IND,ANH,0.143316719299211,0.0476265603351579,0.239006878263264
IND,APP,0.0787711511975571,-0.0145350489891684,0.172077351384282
IND,CON,0.1472282024478,0.047340888858232,0.247115516037369
IND,DIS,0.0672878737198679,-0.0229492347238382,0.157524982163574
IND,RES,0.0469061625682204,-0.0354974887302635,0.129309813866704
IND,SUI,0.0217359847611651,-0.0532523605065803,0.0967243300289105
IND,WOR,0.100657575595172,-0.00021837227983304,0.201533523470178
LIB,ANH,0.0581925155408016,-0.0345274023875658,0.150912433469169
LIB,APP,0.0819716597847141,-0.0143477977319296,0.178291117301358
LIB,PHY,-0.0662206301040649,-0.159323199717365,0.0268819395092353
LIB,RES,0.108361249180891,0.0128757418557297,0.203846756506053
PHY,APP,-0.0518411168067661,-0.141136032665063,0.0374537990515311
PHY,IMP,0.102794334319689,0.000950159623919866,0.204638509015458
PHY,SAD,0.0643841320404712,-0.0408613147988842,0.169629578879827
PUN,CON,0.0807545139238783,-0.0227488954507216,0.184257923298478
PUN,CRY,0.0386772912904672,-0.0474228562039334,0.124777438784868
PUN,DIS,0.140994808113986,0.0565257521363608,0.225463864091611
PUN,IMP,-0.122975860578444,-0.224765437430418,-0.021186283726469
PUN,LIB,0.118671566120063,0.0251635542172913,0.212179578022835
PUN,SUI,0.0396269968663709,-0.0546208070073411,0.133874800740083
RES,APP,0.140909676167968,0.0524198468267867,0.22939950550915
RES,CON,0.117445469182627,0.0349545798891579,0.199936358476096
RES,SAD,0.0499604947469102,-0.0336381531098688,0.133559142603689
RES,SLE,0.0741747456734114,-0.015175765046983,0.163525256393806
RES,SUI,0.0394898628939759,-0.0438874599670536,0.122867185755005
SAD,CON,0.0844126925450682,-0.00765969640332191,0.176485081493458
SAD,SLE,0.0393660115190373,-0.0450184703079275,0.123750493346002
SUI,SAD,0.110617919040655,0.00486232850640089,0.216373509574908
TIR,ANH,0.0610810560186167,-0.0274703954574527,0.149632507494686
TIR,APP,0.0508027116816882,-0.0408161962089911,0.142421619572368
TIR,CON,0.243722047137595,0.153233552831483,0.334210541443706
TIR,DIS,0.0763069908125461,-0.0132583412106212,0.165872322835713
TIR,RES,0.0605145773865701,-0.0250904826802648,0.146119637453405
