t1.node,t2.node,est.net,ci.lower,ci.upper
BAD,BAD,0.240035290214613,0.131032668061328,0.357870937603504
ANX,BAD,0.13352927882501,0.0308416262469146,0.239287512573708
AFR,BAD,0,-0.0257472799362908,0.159080423264565
FAI,BAD,0,-0.0173761865760027,0.165355370658408
GUI,BAD,0,-0.0680565960319963,0.114158158014878
PUN,BAD,0.138357738536195,0.048538925228933,0.228450569655742
CRY,BAD,0,-0.101021736725412,0.0658187010782077
IND,BAD,0.0960391927695068,0.00607877463435152,0.187868741491306
LIB,BAD,0,-0.102959894261109,0.0565400176089026
PHY,BAD,-0.0824572144341508,-0.159844695371952,-0.00716165405530382
IMP,BAD,0,-0.113656153977758,0.0833290451243251
TIR,BAD,0,-0.0378684410357017,0.153110376151297
WOR,BAD,0,-0.184998984574917,0.0406989533773877
ANH,BAD,0,-0.152133548766076,0.0460815214651385
DIS,BAD,0,-0.12555260848465,0.0926538910950673
RES,BAD,0,-0.0267363285603476,0.182641731023728
SUI,BAD,0.10232431546761,0.0176139938308268,0.197516362345981
SAD,BAD,0,-0.0713010389294839,0.160575469670245
APP,BAD,0,-0.115936169922912,0.0600028634769949
CON,BAD,0,-0.130167985488598,0.0750518494051261
SLE,BAD,0,-0.07630035346957,0.0967405907444552
TREAT,BAD,0,-0.277424358579905,0.0300384171960609
BAD,ANX,0,-0.0172524551719067,0.218934387365194
ANX,ANX,0.240039864005915,0.133353099167041,0.350240375431926
AFR,ANX,0,-0.0337334162966074,0.158606256024785
FAI,ANX,0,-0.0550977534098179,0.135081354323496
GUI,ANX,0,-0.100647697227738,0.0893352355015535
PUN,ANX,0,-0.103999369100612,0.0832806403651269
CRY,ANX,0.118937808049589,0.0350354292080539,0.208696200970828
IND,ANX,0.128241729695776,0.0343587990349047,0.223550628435743
LIB,ANX,0,-0.0566031447340115,0.109416549182494
PHY,ANX,0,-0.149343907334323,0.00957042250694813
IMP,ANX,0,-0.0668042999962535,0.138195565990626
TIR,ANX,0,-0.142062953288541,0.0568317980042684
WOR,ANX,0,-0.183300337792672,0.0516577696078376
ANH,ANX,0,-0.199633423011006,0.00665643702623978
DIS,ANX,0,-0.155173026708305,0.0719734518188355
RES,ANX,0.196833601340349,0.0929557120356597,0.310888426674912
SUI,ANX,0,-0.003578080104369,0.183787874651864
SAD,ANX,0,-0.0970128306459279,0.144317015679249
APP,ANX,0,-0.0969074891146995,0.0862168565174077
CON,ANX,0,-0.195117679096903,0.0185155797116936
SLE,ANX,0,-0.0590107835899113,0.1210803073252
TREAT,ANX,-0.0868194676698723,-0.33567167252361,-0.0155943811511955
BAD,AFR,0,-0.108258625568921,0.128542278973164
ANX,AFR,0,-0.0988688005072945,0.118668103763414
AFR,AFR,0.310497631218687,0.21462773688341,0.407462421669249
FAI,AFR,0,-0.0864625738815058,0.10421821012536
GUI,AFR,0,-0.0143685097356314,0.176129206615772
PUN,AFR,0,-0.0153599585302149,0.172417475870809
