Node 1,Node 2,Placebo Edge,Sertraline Edge
LIB,APP,0.08247232142797,0.0771072112791874
PHY,APP,-0.136692193384642,0
IMP,APP,0,0
TIR,APP,0.0901380295927413,0
WOR,APP,0.0288891569119351,0.0343253984305382
ANH,APP,0,0
DIS,APP,0,0
RES,APP,0.152513682938817,0.138413984659406
SUI,APP,0,0
SAD,APP,0.0256506304429622,0
BAD,CON,0,0.0164270509698897
ANX,CON,0.0121515644849956,0
AFR,CON,0,0
FAI,CON,0,0.0646933851909377
GUI,CON,0,0
PUN,CON,0.0305509949893656,0.0714396918195945
CRY,CON,0.078634476823451,0
IND,CON,0.135618825781888,0.136131224415984
LIB,CON,0,0
PHY,CON,0.0170137760015913,0
IMP,CON,0,0.078280929035731
TIR,CON,0.192845821301683,0.240684277930986
WOR,CON,0,0
ANH,CON,0.21408480193069,0.0535777022658665
DIS,CON,0,0
RES,CON,0.154681091563442,0.0633236255828096
SUI,CON,0,0.0581374649360604
SAD,CON,0.0867453793311439,0.0740175070822872
APP,CON,0.0192691496771981,0.118100392427768
BAD,SLE,0,0
ANX,SLE,0,0.0117946063978882
AFR,SLE,0,0
FAI,SLE,0.0847167170173049,0.0566768183228591
GUI,SLE,0.0703285878193903,0
PUN,SLE,0,-0.00844791542828286
CRY,SLE,0.0597792249636581,0
IND,SLE,0,0
LIB,SLE,0.00807251956837255,0
PHY,SLE,-0.0175131290356751,0
IMP,SLE,0,0
TIR,SLE,0.159999604858256,0.166447244454476
WOR,SLE,0,0.0241107565246056
ANH,SLE,0,0
DIS,SLE,0,0
RES,SLE,0.05749026461742,0.0999561844281959
SUI,SLE,0,0
SAD,SLE,0.0340923066060282,0
APP,SLE,0.117846872890495,0.2510026249857
CON,SLE,0.0664789795002768,0.0554337621795916
