Node 1,Node 2,Placebo Edge,Sertraline Edge
ANH,APP,0.0816764622427063,0.0995325772022366
DIS,APP,0,0.0247644500097492
RES,APP,0.00463193087845323,0.0111911416283137
SUI,APP,0,0
SAD,APP,0.0795308300119413,0
BAD,CON,0.0609795071100306,0.00214586397515218
ANX,CON,0.0653080907851109,0.033297348491114
AFR,CON,0.030760758628637,0
FAI,CON,0,0
GUI,CON,0,0
PUN,CON,0,0
CRY,CON,0,0
IND,CON,0.178556876427205,0.148857975125252
LIB,CON,0.01179270649572,0
PHY,CON,0,0
IMP,CON,0,0
TIR,CON,0.114925233626397,0.170909701636216
WOR,CON,0.0260528066842606,0.0230919019006387
ANH,CON,0.0739799059958593,0.138597565638541
DIS,CON,0.0744859085322202,0
RES,CON,0.186627846486661,0.226782405943944
SUI,CON,0,0
SAD,CON,0.076996129156514,0.0941912672211126
APP,CON,0.107444576491136,0.0793868733775882
BAD,SLE,0,0.0282199461225806
ANX,SLE,0.0865847712250102,0.0279832257056695
AFR,SLE,0,-0.0164779872164385
FAI,SLE,0,0
GUI,SLE,0,0.040319617598118
PUN,SLE,0,0
CRY,SLE,0.0828473851100608,0
IND,SLE,0.014182107372458,0
LIB,SLE,0,0
PHY,SLE,0,0
IMP,SLE,0,0.0433634122862892
TIR,SLE,0.186120250313958,0.212654847807681
WOR,SLE,0.0347507891132129,0
ANH,SLE,0.0667426669239266,0.0183910142314411
DIS,SLE,0.0193073590465426,0.00246755863877426
RES,SLE,0.0518895024145636,0.0736736893972892
SUI,SLE,0,0
SAD,SLE,0,0.00581435252695245
APP,SLE,0.123570509193638,0.105498286384055
CON,SLE,0.0736230159711662,0.104459589998097
