node1,node2,sample,CIlower,CIupper
AFR,ANH,0.04087410205826,-0.0509863744911486,0.132734578607669
AFR,CRY,0.067823589821104,-0.0423144789313925,0.1779616585736
AFR,IND,0.055450037790464,-0.0411183618305092,0.152018437411437
AFR,PUN,0.0437137372846819,-0.0571211020676095,0.144548576636973
AFR,RES,0.0697550925658893,-0.0329780132023788,0.172488198334157
AFR,TIR,0.0474129247759591,-0.0482865200971424,0.143112369649061
AFR,WOR,0.152494894970489,0.0505910273748345,0.254398762566144
ANH,APP,0.102725670039286,0.00393667537344285,0.201514664705129
ANH,CON,0.102325787179423,0.00475593912602627,0.19989563523282
ANH,DIS,0.119184128072915,0.0248130259738247,0.213555230172006
ANH,RES,0.113165275478075,0.0207471961107424,0.205583354845408
ANH,SAD,0.0884769129868725,-0.00284752592012025,0.179801351893865
ANH,SLE,0.0404926022933779,-0.0458039549488167,0.126789159535573
ANH,SUI,0.0490068196148102,-0.0455772671403668,0.143590906369987
ANX,AFR,0.100949576676607,0.00293708594150911,0.198962067411705
ANX,CRY,0.0327005398075496,-0.0518354179260891,0.117236497541188
ANX,DIS,-0.113243616837777,-0.242848388026992,0.0163611543514381
ANX,FAI,0.0905498813298572,-0.0100107897027291,0.191110552362444
ANX,GUI,0.0444243143943977,-0.0465069630165393,0.135355591805335
ANX,IMP,0.0637064341489486,-0.0320994940408538,0.159512362338751
ANX,IND,0.0698713345896913,-0.0282950285779237,0.168037697757306
ANX,PHY,-0.0577496560891759,-0.151972491238457,0.0364731790601051
ANX,RES,0.114182533720823,0.014139865122074,0.214225202319572
ANX,SLE,0.068060513843066,-0.025229576987038,0.16135060467317
ANX,SUI,0.0961939250754855,-0.0027477370378659,0.195135587188837
ANX,WOR,0.304814006137868,0.223335125349233,0.386292886926503
APP,CON,0.113275054643881,0.0126498809471901,0.213900228340573
APP,SLE,0.121831344305681,0.0271502926780152,0.216512395933346
BAD,AFR,0.178188962909469,0.0815471452684675,0.274830780550471
BAD,APP,0.0691982519457097,-0.0325167080007249,0.170913211892144
BAD,DIS,0.15921665176102,0.0633703071122243,0.255062996409816
BAD,FAI,0.0795645817690941,-0.026369375350452,0.18549853888864
BAD,GUI,0.179478669727603,0.0867173713324354,0.27223996812277
BAD,PUN,0.0953648578059864,-0.014018294227936,0.204748009839909
BAD,SAD,0.235478468157001,0.150090108592749,0.320866827721254
BAD,SUI,0.0987123002925941,-0.00460300849522445,0.202027609080413
BAD,WOR,0.104998474958905,0.0123387568752064,0.197658193042604
CON,SLE,0.0842688033375722,-0.0176153882304279,0.186152994905572
CRY,APP,0.0519376462522327,-0.0380545214617854,0.141929813966251
CRY,DIS,0.0783977861909825,-0.0259066987875185,0.182702271169483
CRY,IND,0.191140873082656,0.0889769721104507,0.293304774054861
CRY,LIB,0.0437162031974253,-0.0451088989518371,0.132541305346688
CRY,RES,0.0984315373291935,0.000605736695515363,0.196257337962872
CRY,TIR,0.0605062043802289,-0.026133490837819,0.147145899598277
DIS,RES,0.095181537333322,-0.00106001424410813,0.191423088910752
DIS,SAD,0.088440189033755,-0.01608546787941,0.19296584594692
DIS,SUI,0.142211526635585,0.0490861043260673,0.235336948945102
FAI,ANH,0.0562690229708259,-0.0428457491094277,0.155383795051079
FAI,DIS,0.138964762093648,0.0448507369054654,0.233078787281831
FAI,GUI,0.115304090809567,0.0204166619253632,0.210191519693771
FAI,PUN,0.131036902321036,0.0303697715792682,0.231704033062803
FAI,SUI,0.039282932432533,-0.0439064391350638,0.12247230400013
FAI,WOR,0.0498301497297632,-0.0442993710578442,0.143959670517371
GUI,ANH,0.0590688114649538,-0.0320452682544475,0.150182891184355
GUI,DIS,0.125705795299775,0.0238880233370419,0.227523567262508
GUI,IND,0.136809053986081,0.0450302625782182,0.228587845393943
GUI,PUN,0.125128479286602,0.0334447825726419,0.216812176000562
IMP,ANH,0.0968689613693754,-0.000270734813493337,0.194008657552244
IMP,RES,0.0377949731657892,-0.0494589366632293,0.125048882994808
IMP,SAD,0.252335459313077,0.162580612536178,0.342090306089975
IMP,TIR,0.0363480325983897,-0.0511355484734397,0.123831613670219
IMP,WOR,0.0455112860540241,-0.0470362847123762,0.138058856820424
IND,CON,0.181174162939367,0.0856220535422146,0.27672627233652
LIB,ANH,0.0454646859150706,-0.0492788613657303,0.140208233195872
LIB,RES,0.0520705571847779,-0.0511455786446286,0.155286693014184
LIB,SAD,0.0658286446876371,-0.0464746290183036,0.178131918393578
LIB,TIR,0.135781418701068,0.0433494056276026,0.228213431774534
PHY,ANH,-0.0370471756158168,-0.126368473146848,0.0522741219152143
PHY,DIS,-0.0843982027844951,-0.199328802369025,0.0305323968000353
PHY,SAD,0.142083144203703,0.0326072368399022,0.251559051567504
PHY,TIR,-0.128566946265316,-0.22926017755222,-0.0278737149784112
PUN,ANH,0.0824300064647397,-0.0225411963349803,0.18740120926446
PUN,APP,0.0320292526815571,-0.0578142390680019,0.121872744431116
PUN,CRY,0.0520846008936429,-0.0521542339651311,0.156323435752417
PUN,DIS,0.0721509926207692,-0.0301564156397415,0.17445840088128
PUN,IND,0.0721205179028272,-0.027583593156697,0.171824628962351
PUN,PHY,0.0427112504758627,-0.050014459111338,0.135436960063063
PUN,SUI,0.0601905692075504,-0.0424268917869876,0.162808030202088
RES,CON,0.232971564243484,0.145599533732751,0.320343594754218
RES,SAD,0.0905551114700199,-0.00501161227881819,0.186121835218858
RES,SLE,0.0585840772916393,-0.037319544688122,0.154487699271401
SAD,CON,0.0762247401509396,-0.0193528085281216,0.171802288830001
