t1.node,t2.node,est.net
BAD,BAD,0.224096000730995
ANX,BAD,0
AFR,BAD,0.0973956056072145
FAI,BAD,0
GUI,BAD,0
PUN,BAD,0
CRY,BAD,0
IND,BAD,0
LIB,BAD,0
PHY,BAD,0
IMP,BAD,0
TIR,BAD,0
WOR,BAD,0
ANH,BAD,0
DIS,BAD,0
RES,BAD,0
SUI,BAD,0.132419992506583
SAD,BAD,0
APP,BAD,0
CON,BAD,0
SLE,BAD,0
TREAT,BAD,-0.0898569456819731
BAD,ANX,0
ANX,ANX,0.269636219222644
AFR,ANX,0.14916670643635
FAI,ANX,0
GUI,ANX,0
PUN,ANX,0
CRY,ANX,0
IND,ANX,0
LIB,ANX,0
PHY,ANX,0
IMP,ANX,0
TIR,ANX,0
WOR,ANX,0
ANH,ANX,0
DIS,ANX,0
RES,ANX,0
SUI,ANX,0.133979379364155
SAD,ANX,0
APP,ANX,0
CON,ANX,0
SLE,ANX,0
TREAT,ANX,-0.109664807300653
BAD,AFR,0
ANX,AFR,0.135065318232854
AFR,AFR,0.360817675971054
FAI,AFR,0.108231217596423
GUI,AFR,-0.17816108750697
PUN,AFR,0
CRY,AFR,0
IND,AFR,0.0976975454007858
LIB,AFR,0
PHY,AFR,0
IMP,AFR,0
TIR,AFR,0
WOR,AFR,0
ANH,AFR,0
DIS,AFR,0
RES,AFR,0
SUI,AFR,0.0867243080758909
SAD,AFR,0
APP,AFR,0
CON,AFR,-0.091987884824406
SLE,AFR,0
TREAT,AFR,-0.114106563025319
BAD,FAI,0.103043153280504
ANX,FAI,0
AFR,FAI,0.0966486721340791
FAI,FAI,0.108104124225011
GUI,FAI,0
PUN,FAI,0
CRY,FAI,0
IND,FAI,0
LIB,FAI,-0.164491395335209
PHY,FAI,0
IMP,FAI,0
TIR,FAI,0.137729265412585
WOR,FAI,0
ANH,FAI,0
DIS,FAI,0
RES,FAI,0
SUI,FAI,0.0981136190188513
SAD,FAI,0
APP,FAI,0
CON,FAI,0
SLE,FAI,0
TREAT,FAI,0
BAD,GUI,0
ANX,GUI,0
AFR,GUI,0.0918067616687411
FAI,GUI,0
GUI,GUI,0.191783779244312
PUN,GUI,0
CRY,GUI,0
IND,GUI,0
LIB,GUI,0
PHY,GUI,0
IMP,GUI,0
TIR,GUI,0
WOR,GUI,0
ANH,GUI,0
DIS,GUI,0.144952236062624
RES,GUI,0
SUI,GUI,0
SAD,GUI,0
APP,GUI,0
CON,GUI,0
SLE,GUI,0
TREAT,GUI,0
BAD,PUN,0
ANX,PUN,0
AFR,PUN,0
FAI,PUN,0
GUI,PUN,0
PUN,PUN,0.312915457312049
CRY,PUN,0
IND,PUN,0
LIB,PUN,0.100352081317099
PHY,PUN,0
IMP,PUN,0
TIR,PUN,0
WOR,PUN,0
ANH,PUN,0
DIS,PUN,0
RES,PUN,0.144741305098177
SUI,PUN,0.123489185955167
SAD,PUN,0
APP,PUN,0
CON,PUN,0
SLE,PUN,0
TREAT,PUN,0
BAD,CRY,0
ANX,CRY,0
AFR,CRY,0
FAI,CRY,0
GUI,CRY,0
PUN,CRY,0
CRY,CRY,0.192505956725955
IND,CRY,0
LIB,CRY,0
PHY,CRY,0
IMP,CRY,0
TIR,CRY,0
WOR,CRY,0
ANH,CRY,0
DIS,CRY,0
RES,CRY,0
SUI,CRY,0
SAD,CRY,0
APP,CRY,0
CON,CRY,0
SLE,CRY,0
TREAT,CRY,0
BAD,IND,0
ANX,IND,0
AFR,IND,0
FAI,IND,0
GUI,IND,0
PUN,IND,0
CRY,IND,0
IND,IND,0.32390113321936
LIB,IND,0
PHY,IND,0
IMP,IND,0
TIR,IND,0
WOR,IND,0
ANH,IND,0
DIS,IND,0
RES,IND,0
SUI,IND,0.149931597347806
SAD,IND,0
APP,IND,0
CON,IND,0
SLE,IND,0.107205648922727
TREAT,IND,-0.0862626130171474
BAD,LIB,0
ANX,LIB,0
AFR,LIB,0
FAI,LIB,0
GUI,LIB,0
PUN,LIB,0
CRY,LIB,0
IND,LIB,0
LIB,LIB,0.474390334637241
PHY,LIB,0
IMP,LIB,0
TIR,LIB,0
WOR,LIB,0
ANH,LIB,0
DIS,LIB,0
RES,LIB,0
SUI,LIB,0
SAD,LIB,0.102152469102186
APP,LIB,0.093411562209342
CON,LIB,0
SLE,LIB,0
TREAT,LIB,0.115768656913971
BAD,PHY,0
ANX,PHY,0
AFR,PHY,0
FAI,PHY,0.0975636931551876
GUI,PHY,-0.115611946600195
PUN,PHY,0
CRY,PHY,0
IND,PHY,0
LIB,PHY,0
PHY,PHY,0.423162674210924
IMP,PHY,0
TIR,PHY,0
WOR,PHY,0
ANH,PHY,0.123582948130316
DIS,PHY,-0.125165976536136
RES,PHY,0
SUI,PHY,0
SAD,PHY,0
APP,PHY,0
CON,PHY,0
SLE,PHY,0
TREAT,PHY,0
BAD,IMP,0
ANX,IMP,0
AFR,IMP,0
FAI,IMP,0
GUI,IMP,0
PUN,IMP,0
CRY,IMP,0
IND,IMP,0
LIB,IMP,0
PHY,IMP,0
IMP,IMP,0.280609411080793
TIR,IMP,0
WOR,IMP,0
ANH,IMP,0
DIS,IMP,0
RES,IMP,0
SUI,IMP,0
SAD,IMP,0
APP,IMP,0
CON,IMP,0
SLE,IMP,0
TREAT,IMP,-0.120904919359936
BAD,TIR,0
ANX,TIR,0
AFR,TIR,0
FAI,TIR,0
GUI,TIR,0
PUN,TIR,0
CRY,TIR,0
IND,TIR,0
LIB,TIR,0
PHY,TIR,0
IMP,TIR,-0.0929832266449333
TIR,TIR,0.336083765483418
WOR,TIR,0
ANH,TIR,0
DIS,TIR,0
RES,TIR,0.122899627934535
SUI,TIR,0.0900633862853391
SAD,TIR,0
APP,TIR,0
CON,TIR,0.0962425895102052
SLE,TIR,0
TREAT,TIR,0
BAD,WOR,0
ANX,WOR,0.109097695102035
AFR,WOR,0.151727794669103
FAI,WOR,0
GUI,WOR,-0.109347121752509
PUN,WOR,0
CRY,WOR,0.0896515090007365
IND,WOR,0
LIB,WOR,0
PHY,WOR,0
IMP,WOR,0
TIR,WOR,0
WOR,WOR,0.312046858245558
ANH,WOR,0
DIS,WOR,0
RES,WOR,0
SUI,WOR,0.123169308183868
SAD,WOR,0
APP,WOR,0.132307368183895
CON,WOR,0
SLE,WOR,0
TREAT,WOR,-0.0827882306511715
BAD,ANH,0
ANX,ANH,0
AFR,ANH,0.125749831839542
FAI,ANH,0
GUI,ANH,0
PUN,ANH,0
CRY,ANH,0
IND,ANH,0
LIB,ANH,0
PHY,ANH,0
IMP,ANH,0
TIR,ANH,0
WOR,ANH,0
ANH,ANH,0.275086224974303
DIS,ANH,0
RES,ANH,0
SUI,ANH,0.101863113863315
SAD,ANH,0
APP,ANH,0
CON,ANH,0
SLE,ANH,0
TREAT,ANH,0
BAD,DIS,0
ANX,DIS,0
AFR,DIS,0.102716330374622
FAI,DIS,0
GUI,DIS,0
PUN,DIS,0
CRY,DIS,0
IND,DIS,0
LIB,DIS,0
PHY,DIS,0
IMP,DIS,0
TIR,DIS,0.119560831677174
WOR,DIS,0
ANH,DIS,0
DIS,DIS,0.195000845419092
RES,DIS,0
SUI,DIS,0.109900618001981
