t1.node,t2.node,est.net
BAD,BAD,0.221749671398775
ANX,BAD,0
AFR,BAD,0.0963623902128857
FAI,BAD,0
GUI,BAD,0
PUN,BAD,0
CRY,BAD,0
IND,BAD,0
LIB,BAD,0
PHY,BAD,0
IMP,BAD,0
TIR,BAD,0
WOR,BAD,0
ANH,BAD,0
DIS,BAD,0
RES,BAD,0
SUI,BAD,0.131913593692926
SAD,BAD,0
APP,BAD,0
CON,BAD,0
SLE,BAD,0
TREAT,BAD,-0.178721232416878
BAD,ANX,0
ANX,ANX,0.271329552910713
AFR,ANX,0.148851929992565
FAI,ANX,0
GUI,ANX,0
PUN,ANX,0
CRY,ANX,0
IND,ANX,0
LIB,ANX,0
PHY,ANX,0
IMP,ANX,0
TIR,ANX,0
WOR,ANX,0
ANH,ANX,0
DIS,ANX,0
RES,ANX,0
SUI,ANX,0.13461340892652
SAD,ANX,0
APP,ANX,0
CON,ANX,0
SLE,ANX,0
TREAT,ANX,-0.219991624011052
BAD,AFR,0
ANX,AFR,0.135936307648983
AFR,AFR,0.360116588280976
FAI,AFR,0.109575952507171
GUI,AFR,-0.178003295344039
PUN,AFR,0
CRY,AFR,0
IND,AFR,0.098591863205973
LIB,AFR,0
PHY,AFR,0
IMP,AFR,0
TIR,AFR,0
WOR,AFR,0
ANH,AFR,0
DIS,AFR,0
RES,AFR,0
SUI,AFR,0.0871493108291284
SAD,AFR,0
APP,AFR,0
CON,AFR,-0.0921351306759457
SLE,AFR,0
TREAT,AFR,-0.22894029760901
BAD,FAI,0.10269477716405
ANX,FAI,0
AFR,FAI,0.0963084583089855
FAI,FAI,0.109274339509318
GUI,FAI,0
PUN,FAI,0
CRY,FAI,0
IND,FAI,0
LIB,FAI,-0.16418845367213
PHY,FAI,0
IMP,FAI,0
TIR,FAI,0.138512375355203
WOR,FAI,0
ANH,FAI,0
DIS,FAI,0
RES,FAI,0
SUI,FAI,0.0984386447693499
SAD,FAI,0
APP,FAI,0
CON,FAI,0
SLE,FAI,0
TREAT,FAI,0
BAD,GUI,0
ANX,GUI,0
AFR,GUI,0.0914979979667826
FAI,GUI,0
GUI,GUI,0.191341273721326
PUN,GUI,0
CRY,GUI,0
IND,GUI,0
LIB,GUI,0
PHY,GUI,0
IMP,GUI,0
TIR,GUI,0
WOR,GUI,0
ANH,GUI,0
DIS,GUI,0.143863989146326
RES,GUI,0
SUI,GUI,0
SAD,GUI,0
APP,GUI,0
CON,GUI,0
SLE,GUI,0
TREAT,GUI,0
BAD,PUN,0
ANX,PUN,0
AFR,PUN,0
FAI,PUN,0
GUI,PUN,0
PUN,PUN,0.316663188759491
CRY,PUN,0
IND,PUN,0
LIB,PUN,0.101407068254458
PHY,PUN,0
IMP,PUN,0
TIR,PUN,0
WOR,PUN,0
ANH,PUN,0
DIS,PUN,0
RES,PUN,0.148886811918314
SUI,PUN,0.125431805369336
SAD,PUN,0
APP,PUN,0
CON,PUN,0
SLE,PUN,0
TREAT,PUN,0
BAD,CRY,0
ANX,CRY,0
AFR,CRY,0
FAI,CRY,0
GUI,CRY,0
PUN,CRY,0
CRY,CRY,0.190554784815966
IND,CRY,0
LIB,CRY,0
PHY,CRY,0
IMP,CRY,0
TIR,CRY,0
WOR,CRY,0
ANH,CRY,0
DIS,CRY,0
RES,CRY,0
SUI,CRY,0
SAD,CRY,0
APP,CRY,0
CON,CRY,0
SLE,CRY,0
TREAT,CRY,0
BAD,IND,0
ANX,IND,0
AFR,IND,0
FAI,IND,0
GUI,IND,0
PUN,IND,0
CRY,IND,0
IND,IND,0.327897326891452
LIB,IND,0
PHY,IND,0
IMP,IND,0
TIR,IND,0
WOR,IND,0
ANH,IND,0
DIS,IND,0
RES,IND,0
SUI,IND,0.151141688114693
SAD,IND,0
APP,IND,0
CON,IND,0
SLE,IND,0.107229694805969
TREAT,IND,-0.173620984799388
BAD,LIB,0
ANX,LIB,0
AFR,LIB,0
FAI,LIB,0
GUI,LIB,0
PUN,LIB,0
CRY,LIB,0
IND,LIB,0
LIB,LIB,0.475085111590999
PHY,LIB,0
IMP,LIB,0
TIR,LIB,0
WOR,LIB,0
ANH,LIB,0
DIS,LIB,0
RES,LIB,0
SUI,LIB,0
SAD,LIB,0.104042505854577
APP,LIB,0.0943333234745318
CON,LIB,0
SLE,LIB,0
TREAT,LIB,0.232676215397367
BAD,PHY,0
ANX,PHY,0
AFR,PHY,0
FAI,PHY,0.0987414308168874
GUI,PHY,-0.115469258041628
PUN,PHY,0
CRY,PHY,0
IND,PHY,0
LIB,PHY,0
PHY,PHY,0.421909453001653
IMP,PHY,0
TIR,PHY,0
WOR,PHY,0
ANH,PHY,0.12334658112505
DIS,PHY,-0.124359894439234
RES,PHY,0
SUI,PHY,0
SAD,PHY,0
APP,PHY,0
CON,PHY,0
SLE,PHY,0
TREAT,PHY,0
BAD,IMP,0
ANX,IMP,0
AFR,IMP,0
FAI,IMP,0
GUI,IMP,0
PUN,IMP,0
CRY,IMP,0
IND,IMP,0
LIB,IMP,0
PHY,IMP,0
IMP,IMP,0.280194733386996
TIR,IMP,0
WOR,IMP,0
ANH,IMP,0
DIS,IMP,0
RES,IMP,0
SUI,IMP,0
SAD,IMP,0
APP,IMP,0
CON,IMP,0
SLE,IMP,0
TREAT,IMP,-0.241523929780224
BAD,TIR,0
ANX,TIR,0
AFR,TIR,0
FAI,TIR,0
GUI,TIR,0
PUN,TIR,0
CRY,TIR,0
IND,TIR,0
LIB,TIR,0
PHY,TIR,0
IMP,TIR,-0.0926885970399315
TIR,TIR,0.336484605343227
WOR,TIR,0
ANH,TIR,0
DIS,TIR,0
RES,TIR,0.124316054647726
SUI,TIR,0.0899580269886767
SAD,TIR,0
APP,TIR,0
CON,TIR,0.0958143282666549
SLE,TIR,0
TREAT,TIR,0
BAD,WOR,0
ANX,WOR,0.110219505120258
AFR,WOR,0.15200984839338
FAI,WOR,0
GUI,WOR,-0.109666454149069
PUN,WOR,0
CRY,WOR,0.0904209922088442
IND,WOR,0
LIB,WOR,0
PHY,WOR,0
IMP,WOR,0
TIR,WOR,0
WOR,WOR,0.315592728800295
ANH,WOR,0
DIS,WOR,0
RES,WOR,0
SUI,WOR,0.12424441452238
SAD,WOR,0
APP,WOR,0.133890699824919
CON,WOR,0
SLE,WOR,0
TREAT,WOR,-0.166736806013087
BAD,ANH,0
ANX,ANH,0
AFR,ANH,0.126588985982155
FAI,ANH,0
GUI,ANH,0
PUN,ANH,0
CRY,ANH,0
IND,ANH,0
LIB,ANH,0
PHY,ANH,0
IMP,ANH,0
TIR,ANH,0
WOR,ANH,0
ANH,ANH,0.277027013640306
DIS,ANH,0
RES,ANH,0
SUI,ANH,0.103246002972251
SAD,ANH,0
APP,ANH,0
CON,ANH,0
SLE,ANH,0
TREAT,ANH,0
BAD,DIS,0
ANX,DIS,0
AFR,DIS,0.101837228085226
FAI,DIS,0
GUI,DIS,0
PUN,DIS,0
CRY,DIS,0
IND,DIS,0
LIB,DIS,0
PHY,DIS,0
IMP,DIS,0
TIR,DIS,0.119632673513881
WOR,DIS,0
ANH,DIS,0
DIS,DIS,0.192527966962138
RES,DIS,0
SUI,DIS,0.109707166990925
SAD,DIS,0
APP,DIS,0
CON,DIS,0
SLE,DIS,0
TREAT,DIS,0
BAD,RES,0
ANX,RES,0
AFR,RES,0
FAI,RES,0
GUI,RES,0
PUN,RES,0
CRY,RES,0.117846410016276
IND,RES,0
LIB,RES,0
PHY,RES,0
IMP,RES,0
TIR,RES,0
WOR,RES,0
ANH,RES,0
DIS,RES,0
RES,RES,0.23820250020922
SUI,RES,0
SAD,RES,0.120521839837108
APP,RES,0.115842243608517
CON,RES,0
SLE,RES,0
TREAT,RES,-0.17965474551947
BAD,SUI,0
ANX,SUI,0
AFR,SUI,0
FAI,SUI,0
GUI,SUI,0
PUN,SUI,0
CRY,SUI,0
IND,SUI,0
LIB,SUI,0
PHY,SUI,0
IMP,SUI,0
TIR,SUI,0
WOR,SUI,0
ANH,SUI,0
DIS,SUI,0
RES,SUI,0.105302086618291
SUI,SUI,0.383151162417924
SAD,SUI,0
APP,SUI,0
CON,SUI,0
SLE,SUI,0
TREAT,SUI,0
BAD,SAD,0
ANX,SAD,0
AFR,SAD,0.0913867157400665
FAI,SAD,0
GUI,SAD,0
PUN,SAD,0
CRY,SAD,0
IND,SAD,0
LIB,SAD,0
PHY,SAD,0
IMP,SAD,0
TIR,SAD,0
WOR,SAD,0
ANH,SAD,0
DIS,SAD,0
RES,SAD,0
SUI,SAD,0.130784448769165
SAD,SAD,0.142030624173932
APP,SAD,0.111780933000486
CON,SAD,0
SLE,SAD,0
TREAT,SAD,-0.190614878595889
BAD,APP,0
ANX,APP,0
AFR,APP,0
FAI,APP,0
GUI,APP,0
PUN,APP,0
CRY,APP,0
IND,APP,0
LIB,APP,0
PHY,APP,0
IMP,APP,0
TIR,APP,0
WOR,APP,0
ANH,APP,0
DIS,APP,0
RES,APP,0
SUI,APP,0
SAD,APP,0
APP,APP,0.346800111236841
CON,APP,0
SLE,APP,0
TREAT,APP,0
BAD,CON,0
ANX,CON,0
AFR,CON,0
FAI,CON,0
GUI,CON,0
PUN,CON,0
CRY,CON,0
IND,CON,0
LIB,CON,0
PHY,CON,0
IMP,CON,0
TIR,CON,0
WOR,CON,0
ANH,CON,0
DIS,CON,0
RES,CON,0
SUI,CON,0.150387883109764
SAD,CON,0
APP,CON,0.0875464848509054
CON,CON,0.27971187490537
SLE,CON,0
TREAT,CON,0
BAD,SLE,0
ANX,SLE,0
AFR,SLE,0.15443125752678
FAI,SLE,0
GUI,SLE,0
PUN,SLE,0
CRY,SLE,0
IND,SLE,0
LIB,SLE,0
PHY,SLE,0
IMP,SLE,0
TIR,SLE,0
WOR,SLE,0
ANH,SLE,0
DIS,SLE,-0.117656883686335
